,GroupedGenres,Clean_summary
437,Mystery,darkest secrets often hide plain sight body found lonely cliff top path angelic face murdered teenager lies facing rising sun. strangled hands unknown killer falls tom janssen fledgling team find came there. destined career medicine one rival parents holly bettany future bright privileged. seemingly could threaten promising teenager life holly herself. in idyllic coastal setting janssen must unpick layers deceit within close knit community threaten reveal scandal every turn. holly secret knew secrets others prepared kill order keep hidden happens another comes know one thing certain brutal killer boundaries set within mysterious beauty coastal norfolk fast paced british detective novel dark murder mystery little humour one keep guessing end final shocking twist revealed. one lost soul explosive debut new series crime thrillers million selling british author jm dalgliesh author dark yorkshire books perfect fans lj ross jd kirk angela marsons joy ellis damien boyd.
438,Science Fiction,cursei gifti monsteri humanmy touch lethalmy touch poweri weaponi fight backjuliette touched anyone exactly days. the last time accident reestablishment locked murder. one knows juliette touch fatal. long hurt anyone else one really cares. world busy crumbling pieces pay attention year old girl. diseases destroying population food hard find birds fly anymore clouds wrong color. the reestablishment said way way fix things threw juliette cell. many people dead survivors whispering war reestablishment changed mind. maybe juliette tortured soul stuffed poisonous body. maybe exactly need right now. juliette make choice weapon. warrior.
439,Fiction,heart ofthe husband secretis letter meant readmy darling cecilia reading died imagine husband wrote letter opened death. imagine letter contains deepest darkest secret something potential destroy life built together lives others well. imagine stumble across letter husband still much alive. cecilia fitzpatrick achieved incredibly successful businesswoman pillar small community devoted wife mother. life orderly spotless home. letter change everything rachel tess barely know cecilia feel earth shattering repercussions husband secret. acclaimed author liane moriarty written gripping thought provoking novel well really possible know spouses ultimately ourselves.
440,Classics and Historical,patriotism enough. must hatred bitterness towards anyone. nurse edith cavell eve execution scarred experiences world war german doctor sebastian braun lives quiet life tending patients beloved garden. sophie hathaway bursts life challenges dearly held beliefs. moment sebastian discovers love first time war horizon threatening peace mind germans approach channel islands sebastian make choices peace loving man become stand fight principles sophie separated sebastian left realising love may eluded forever. chance meeting paris sets wheels motion dangerously devastating love affair. set backdrop world war paris affairis poignant story beautifully told love loss resilience human spirit.
441,Fiction,attempting escape civil war four people kidnapped transported tibetan mountains. plane crashes found mysterious chinese man. leads monastery hidden valley blue moon land mystery matchless beauty life lived tranquil wonder beyond grasp doomed world. it shangri la destinies discovered meaning paradise unveiled.
442,Fiction,winner gravity rainbow postmodern epic work exhaustively significant second half th century joyce ulysses first. sprawling encyclopedic narrative penetrating analysis impact technology society make intellectual tour de force.
443,Fiction,want tell happens book. truly special story want spoil nevertheless need know enough buy say story two women. their lives collide one fateful day one make terrible choice. two years later meet story starts read want tell friends please tell happens either. magic unfolds.
444,Fiction,story skip sands spy training engaged psychological operations vietcong disasters befall thanks famous uncle war hero known intelligence circles simply colonel. also story houston brothers bill james young men drift arizona desert war line disinformation delusion blurred away. vision human folly gritty sympathetic portraits men women desperate end loneliness whether sex death grace god story like nothing literature. tree smoke denis johnson first full length novel nine years gripping beautiful powerful work date. tree smoke winner fiction.
445,Fiction,moved tothisedition. a gang war raging dark underworld brighton. seventeen year old pinkie malign ruthless killed man. believing escape retribution unprepared courageous life embracing ida arnold. greene gripping thriller exposes world loneliness fear life lived dangerous edge things. with introduction coetzee
446,Classics and Historical,lay dyingis faulkner harrowing account bundren family odyssey across mississippi countryside bury addie wife mother. narrated turn family members including addie well others novel ranges mood dark comedy deepest pathos. considered one influential novels american fiction structure style drama lay dyingis true th century classic. this edition reproduces corrected text ofas lay dyingas established noel polk.
447,Inspirational and Self-Help,believe discoveries book change understanding store emotional experiences change lives. emotion code already changed many lives around world hope millions led use simple tool heal loved ones. tony robbinsin newly revised expanded edition emotion code renowned holistic physician lecturer bradley nelson skillfully lays bare inner workings subconscious mind. reveals emotionally charged events past still haunting form trapped emotions emotional energies literally inhabit body. trapped emotions fester life body creating pain malfunction eventual disease. also extract heavy mental emotional toll impacting think choices make level success abundance able achieve. perhaps damaging trapped emotional energies gather around heart cutting ability give receive love. the emotion code powerful simple way rid unseen baggage. nelson method gives tools identify release trapped emotions life eliminating emotional baggage opening heart body positive energies world. filled real world examples many years clinical practice emotion code distinct authoritative work become classic self healing.
448,Biographies and Memoirs,nelson mandela one great moral political leaders time international hero whose lifelong dedication fight racial oppression south africa nobel peace prize presidency country. since triumphant release quarter century imprisonment mandela center compelling inspiring political drama world. president african national congress head south africa anti apartheid movement instrumental moving nation toward multiracial government majority rule. revered everywhere vital force fight human rights racial equality. the foster son thembu chief mandela raised traditional tribal culture ancestors early age learned modern inescapable reality came called apartheid one powerful effective systems oppression ever conceived. classically elegant engrossing prose tells early years impoverished student law clerk jewish firm johannesburg slow political awakening pivotal role rebirth stagnant anc formation youth league s. he describes struggle reconcile political activity devotion family anguished breakup first marriage painful separations children. brings vividly life escalating political warfare fifties anc government culminating dramatic escapades underground leader notorious rivonia trial sentenced life imprisonment. herecounts surprisingly eventful twenty seven years prison complex delicate negotiations led freedom beginning end apartheid. finally provides ultimate inside account.
449,Mystery,oslo november. first snow season fallen. boy named jonas wakes night find mother gone. window cold moonlight sees snowman inexplicably appeared yard earlier day. around neck mother pink scarf. hole suspects link menacing letter received disappearance jonas mother perhaps dozen women went missing day first snowfall. investigation deepens something else emerges becoming pawn increasingly terrifying game whose rules devised constantly revised killer.
450,Youth Literature (Children and Young Adult),katarina bishop three parents took trip louvre case seventh birthday katarina uncle eddie traveled austria steal crown jewels. kat turned fifteen planned con scamming way best boarding school country determined leave family business behind. unfortunately leaving life normal life proves harder expected. soon kat friend former co conspirator hale appears nowhere bring kat back world tried hard escape. good reason powerful mobster robbed priceless art collection wants retrieve master thief could pulled job kat father suspect list list. caught interpol far deadly enemy kat dad needs help. for kat one solution track paintings steal back. spectacularly impossible job got two weeks teenage crew hopefully enough talent pull biggest heist family history luck steal life back along way.
451,Mystery,wilkie collins spellbinding tale romance theft murder inspired hugely popular genre detective mystery. hinging theft enormous diamond originally stolen indian shrine riveting novel features innovative sergeant cuff hilarious house steward gabriel betteridge lovesick housemaid mysterious band indian jugglers. this modern library paperback classic set definitive edition.
452,Fiction,weedy clearing outskirts memphis two boys watch shiny lincoln pull curb eleven year old mark sway younger brother sharing forbidden cigarette chance encounter suicidal lawyer left mark knowing bloody explosive secret whereabouts sought dead body america. mark caught legal system gone mad mob killer desperate cover crime. ally woman named reggie love lawyer four years. prosecutors willing break rules make mark talk. mob stop nothing keep quiet. reggie anything protect client even take last desperate gamble could win mark freedom cost lives.
453,Science Fiction,arizona desert man wanders daze speaking words make sense. within twenty four hours dead body swiftly cremated known associates. halfway around world archaeologists make shocking discovery medieval site. suddenly swept headquarters secretive multinational corporation developed astounding technology. group get chance study past enter history opened present dead awakened living men women soon find fighting survival six hundred years ago.
454,Fiction,jim francis finally found perfect life unrecognisable even himself. successful painter sculptor lives quietly wife melanie two young daughters affluent beach town california. say fake con man others see genuine visionary. but francis dark past another identity different set values. crosses atlantic native scotland funeral murdered son barely knew old edinburgh community expects take bloody revenge. confronts previous life friends enemies alarmingly former self francis seems ideas. when melanie discovers something gruesome california indicates husband violent past might also psychotic present things start go bad quickly. the blade artistis elegant electrifying novel ultra violent curiously redemptive marks return one modern fiction infamous terrifying characters incendiary francis begbie fromtrainspotting.
455,Literary Fiction,jacqueline woodson one today finest writers tells moving story childhood mesmerizing verse. raised south carolina new york woodson always felt halfway home place. vivid poems shares like grow african american living remnants jim crow growing awareness civil rights movement. touching powerful poem accessible emotionally charged line glimpse child soul searches place world. woodson eloquent poetry also reflects joy finding voice writing stories despite fact struggled reading child. love stories inspired stayed creating first sparks gifted writer become.
456,Science Fiction,astonishing technique recovering cloning dinosaur dna discovered. humankind thrilling fantasies come true. creatures extinct eons roam jurassic park awesome presence profound mystery world visit price. until something goes wrong. in jurassic park michael crichton taps mesmerizing talent scientific brilliance create electrifying technothriller.
457,Youth Literature (Children and Young Adult),three years ago sophie mercer discovered witch. gotten scrapes. non gifted mother supportive possible consulting sophie estranged father elusive european warlock necessary. sophie attracts much human attention prom night spell gone horribly wrong dad decides punishment exile hex hall isolated reform school wayward prodigium witches faeries shapeshifters. by end first day among fellow freak teens sophie quite scorecard three powerful enemies look like supermodels futile crush gorgeous warlock creepy tag along ghost new roommate happens hated person vampire student campus. worse sophie soon learns mysterious predator attacking students friend number one suspect. as series blood curdling mysteries starts converge sophie prepares biggest threat ancient secret society determined destroy prodigium especially her.
458,Romance,thirty year old english teacher anna emerson offered job tutoring callahan family summer rental maldives accepts without hesitation working vacation tropical island trumps library daj. callahan desire leave town anyone asked him. almost seventeen cancer bad enough spend first summer remission family stack overdue assignments instead friends. anna en route join family maldives pilot seaplane suffers fatal heart attack crash lands indian ocean. adrift shark infested waters life jackets keep afloat make shore uninhabited island. anna want survive must work together obtain water food fire shelter. their basic needs might met days turn weeks months castaways encounter plenty obstacles including violent tropical storms many dangers lurking sea possibility cancer could return. celebrates yet another birthday island anna begins wonder biggest challenge might living boy gradually becoming man.
459,Mystery,agatha christie debut novel also first feature hercule poirot famously eccentric belgian detective. a refugee great war poirot settled england near styles court country estate wealthy benefactor elderly emily inglethorp. emily poisoned authorities baffled poirot puts prodigious sleuthing skills work. suspects plentiful including victim much younger husband resentful stepsons longtime hired companion young family friend working nurse london specialist poisons happens visiting nearby village. all secrets desperate keep none outwit poirot navigates ingenious red herrings plot twists contribute agatha christie well deserved reputation queen mystery. librarian note first fifteen novels hercule poirot series mysterious affair styles murder links murder roger ackroyd big four mystery blue train peril end house lord edgware dies murder orient express three act tragedy death clouds murders murder mesopotamia cards table dumb witness death nile. poirot also appears period play black coffee two collections short stories poirot investigates murder mews. novel short story entry.
460,Classics and Historical,real name one remembers. truth summer one else knows. in summer group young artists led passionate talented edward radcliffe descends upon birchwood manor banks upper thames. plan spend secluded summer month haze inspiration creativity. time stay one woman shot dead another disappeared priceless heirloom missing edward radcliffe life ruins. over one hundred fifty years later elodie winslow young archivist london uncovers leather satchel containing two seemingly unrelated items sepia photograph arresting looking woman victorian clothing artist sketchbook containing drawing twin gabled house bend river. why birchwood manor feel familiar elodie beautiful woman photograph ever give secrets
461,Literary Fiction,quiet tightly knit community willow creek iowa secrets often lie buried beneath layers time silence. true crime podcaster samantha brewer returns childhood home shocking murder childhood friend neighbor ethan green. determined uncover truth samantha embarks journey unravel fabric town peaceful facade. as samantha delves deeper ethan life uncovers web hidden relationships long held secrets unspoken betrayals. investigation leads confront past including strained relationship mother delores unresolved feelings old flame jake emerson. but pieces together puzzle samantha discovers truth far dangerous ever imagined. revelation stakes rise finds race time unveil murderer strike again. fertile ground murder gripping tale family secrets forbidden love lengths people go protect lies. filled suspense emotional depth unexpected twists novel explores dark underbelly seemingly idyllic small town enduring power truth redemption.
462,Fiction,computer expert cat velis heading job algeria. goes mysterious fortune teller warns danger antique dealer asks search pieces valuable chess set missing years south france two convent girls hide valuable pieces chess set world game played powerful
463,Suspense and Thriller,memories define lost every time went sleep name identity past even people love forgotten overnight. and one person trust may telling half story. welcome christine life.
464,Fiction,complex story notorious law suit love inheritance set classic urban background th century london fog river seeping bones characters symbolizes corruption legal system society supports jarndyce jarndyce infamous lawsuit process generations. nobody remember exactly case started many different individuals found fortunes caught esther summerson watches friends neighbours consumed hopes disappointments proceedings. intricate puzzles lawsuit debated lawyers dramatic mysteries unfolding involve heartbreak lost children blackmail murder. the fog cold permeate bleak house mirror victorian england mired spiritual insolvency. dickens brought passion brilliance narrative verve huge novel lives entangled multi generational lawsuit achieved age stature almost shakespearean.
465,Fantasy,given chance immortality wu ying grasp fleeting opportunity long wu ying never expected join sect become real cultivator. days spent studying planting rice family farm spending time friends. fate however different plans wu ying army arrives village many members village conscripted. given opportunity join verdant green waters sect wu ying must decide pedestrian common life exciting blood soaked life cultivator. join wu ying takes first step thousand li journey become immortal cultivator. the first step first novel thousand li series book cultivation immortals wondrous martial art styles spirit beasts loved wuxia xianxia fans. first step written tao wong bestselling scifi fantasy litrpg author system apocalypse adventures brad hidden wishes.
466,Fantasy,friends fewer allies. island everland lot people want gone. crocodile captain hook reappear life amin mood. worse unknowingly endangering asking name long considered dead. now save save two men swore would murder bare hands ever set eyes considering abandoned unfortunately roc hook plans find caught make decision risk heart risk life devourer menis dark mmf romantasy fairytale retelling. characters aged darker grittier version. full list content warnings please visit author website.
467,Romance,pretty talented sweet sixteen never kissed. seventeen gorgeous brink bright future. fallen love. brother sister. seventeen year old lochan sixteen year old maya always felt like friends siblings. together stepped alcoholic wayward mother take care three younger siblings. defacto parents little ones lochan maya grow fast. stress lives way understand completely also brought closer two siblings would ordinarily close fact fallen love. clandestine romance quickly blooms deep desperate love. know relationship wrong cannot possibly continue. yet cannot stop feels incredibly right. novel careens toward explosive shocking finale one thing certain love devastating happy ending.
468,Classics and Historical,tour de force historical reportage timothy egan winning story rescues iconic chapter american history shadows. the dust storms terrorized high plains darkest years depression like nothing ever seen since. following dozen families communities rise fall region timothy egan tells desperate attempts carry blinding black dust blizzards crop failure death loved ones. brilliantly capturing terrifying drama catastrophe equal justice human characters become heroes stoic long suffering men women whose lives opens urgency respect new york times. era promises ever greater natural disasters worst hard time arguably best nonfiction book yet austin statesman journal greatest environmental disaster ever visited upon land powerful reminder dangers trifling nature.
469,Youth Literature (Children and Young Adult),mankind spent decades trying overcome impending ecological global disaster. late rd century disaster attempting prevent hand reversing damage. two scientists years apart brought together find way change mistakes past try save future done destiny two individuals. love find together determine fate lives fate world. two turn back clock reset future discovery love story years making define destiny survive time.
470,Fantasy,annabeth terrified. just reunited percy six months apart thanks hera looks like camp jupiter preparing war. annabeth friends jason piper leo fly theargo blame roman demigods thinking ship greek weapon. steaming bronze dragon figurehead leo fantastical creation appear friendly. annabeth hopes sight praetor jason deck reassure romans visitors camp half blood coming peace. and one worries. pocket annabeth carries gift mother came unnerving command follow mark athena. avenge annabeth already feels weighed prophecy send seven demigods quest find close doors death. athena want annabeth biggest fear though percy might changed. attached roman ways still need old friends daughter goddess war wisdom annabeth knows born leader never want without seaweed brain sidenarrated four different demigods mark athenais unforgettable journey across land sea rome important discoveries surprising sacrifices unspeakable horrors await. climb aboard theargo dare.
471,Fantasy,one starry night peter pan tinker bell lead three darling children rooftops london away neverland island lost boys play mermaids splash fairies make mischief. villainous looking gang pirates lurk docks led terrifying captain james hook. magic excitement air captain hook way long someone walking plank swimming crocodiles
472,Suspense and Thriller,town hollow creek south carolina two separate murders fifteen years apart unite fifteen year old pleasant day sixty year old clarissa blackwell. pleasant struggles mother distance father infidelity death best friend draws closer clarissa older woman uncanny almost psychic ability read people. clarissa uncovers stories behind murders pleasant clarissa worlds transformed truths forced accept find solace strength shared histories shaped them.
473,Fiction,carl streator reporter investigating sudden infant death syndrome soft news feature. responding several calls paramedics notices dead children read poem library book night died. culling song ancient african spell euthanising sick old people. researching meets woman killed child accidentally. accidentally killed wife child poem twenty years earlier. together man woman must find destroy copies book try kill every rude sonofabitch gets way. lullabyis comedy drama tragedy. order. may also chuck palahniuk best book yet.
474,Fiction,mgb officer leo man never questions party line. arrests whomever told arrest. dismisses horrific death young boy told believes party stance murder communist russia. leo perfect soldier regime. suddenly confidence everything serves great good shaken. forced watch man knows innocent brutally tortured. told arrest wife. leo understands state works trust check check particularly trust. faces stark choice wife life. still killings children continue
475,Fantasy,darkness falls despair abounds evil reigns eragon dragon saphira saved rebel state destruction mighty forces king galbatorix cruel ruler empire. eragon must travel ellesmera land elves training skills dragon rider. ages. darkness falls despair abounds evil reigns eragon dragon saphira saved rebel state destruction mighty forces king galbatorix cruel ruler empire. eragon must travel ellesmera land elves training skills dragon rider magic swordsmanship. soon journey lifetime eyes open awe inspring new places people days filled fresh adventure. chaos betrayal plague every turn nothing seems. long eragon know trust. meanwhile cousin roran must fight new battle one might put eragon even graver danger. will king dark hand strangle resistance eragon may escape even life.
476,Mystery,losing leg land mine afghanistan cormoran strike barely scraping private investigator. john bristow walks door amazing story sister legendary supermodel lula landry famously fell death months earlier. police ruled suicide john refuses believe that. case plunges strike world multimillionaire beauties rock star boyfriends desperate designers introduces every variety pleasure enticement seduction delusion known man.
477,Youth Literature (Children and Young Adult),everyone something hide especially high school juniors spencer aria emily hannaspencer covets sister boyfriend. aria fantasizing english teacher. emily crushing new girl school. hanna uses ugly tricks stay beautiful. kept evenbiggersecret since friend alison vanished. how know knoweverythingabout bad girls naughty girls dirty secrets kept. guess telling.
478,Youth Literature (Children and Young Adult),years rebel tally youngblood takes specials regime cultural renaissance sweeps world. tech heads flaunt latest gadgets kickers spread gossip trends surge monkeys hooked extreme plastic surgery. popularity rules everyone craves fame. fifteen year old aya fuse exception. aya face rank low total nobody. extra. chance stardom kick wild unexpected story. then stumbles upon big secret. aya knows cusp celebrity. information disclose change fate brave new world
479,Classics and Historical,songs innocence experienceis collection poems william blake. note complete table contents included poems see questions section below. this book appeared two phases. first copies printed illuminated william blake five years later bound poems set new poems volume titledsongs innocence experience shewing two contrary states human soul. the work compiles two contrasting directly related books poetry william blake. songs innocencehonors praises natural world natural innocence children close relationship god. songs experiencecontains much darker disillusioned poems deal serious often political themes. believed disastrous end french revolution produced disillusionment blake. however maintain true innocence achieved experience.
480,Suspense and Thriller,everyone knows couple like jack grace. looks wealth charm elegance. dedicated attorney never lost case flawless homemaker masterful gardener cook dotes disabled younger sister. though still newlyweds seem all. might want like hopelessly charmed ease comfort home graciousness dinner parties throw. like get know grace better. but difficult realize jack grace inseparable. some might call true love. others might wonder grace never answers phone. never meet coffee even though work. cook elaborate meals remain slim. never seems take anything leaves house even pen. high security metal shutters downstairs windows. some might wonder really going dinner party front door closed.
481,Fiction,alternative cover edition foundhere. saleem sinai born stroke midnight august moment india independence. greeted fireworks displays cheering crowds prime minister nehru saleem grows learn ominous consequences coincidence. every act mirrored magnified events sway course national affairs health well inextricably bound nation life inseparable times indistinguishable history country. perhaps remarkable telepathic powers linking india midnight children born initial hour endowed magical gifts. this novel fascinating family saga astonishing evocation vast land people brilliant incarnation universal human comedy. twenty five years publication midnight children stands apart epochal work fiction brilliant performance one great literary voices time.
482,Fiction,trunchbull match matilda matilda little girl far good true. age five half knocking double digit multiplication problems blitz reading dickens. even remarkably classmates love even though super nerd teacher pet. everything perfect matilda world starters two idiotic self centered parents ever lived. large busty nightmare school principal miss trunchbull former hammer throwing champion flings children approximately sympathetic bulldozer. fortunately matilda inner resources deal annoyances astonishing intelligence saintly patience innate predilection revenge. roald dahlwas spy ace fighter pilot chocolate historian medical inventor. also author ofcharlie chocolate factory matilda bfg many brilliant stories. remains world storyteller.
483,Horror and Paranormal,major motion picture summit entertainment. r life crisis zombie. memories identity pulse little different fellow dead. may occasionally eat people rather riding abandoned airport escalators listening sinatra cozy calls home collecting souvenirs ruins civilization. and meets girl. first captive reluctant guest julie blast living color r gray landscape something inside begins bloom. want eat girl although looks delicious wants protect her. unlikely bond cause ripples imagine hopeless world change without fight.
484,Fiction,kublai khan necessarily believe everything marco polo says describes cities visited expeditions emperor tartars continue listening young venetian greater attention curiosity shows messenger explorer his. begins italo calvino compilation fragmentary urban images. marco tells khan armilla nothing makes seem city except water pipes rise vertically houses spread horizontally floors spider web city octavia marvelous burgs may creating imagination perhaps recreating fine details native venice perhaps simply recounting myriad possible forms city might take.
485,Fiction,billion husbands replaced. author offight club classic portrait damaged contemporary male psyche comes novel apocalyptic marketing possibilities new product gives new meaning term self help. penny harrigan low level associate big manhattan law firm apartment queens love life all. comes great shock finds invited dinner one linus maxwell software mega billionaire lover gorgeous accomplished women earth. dining manhattan exclusive restaurant whisks penny hotel suite paris proceeds notebook hand bring previously undreamed heights gratification days end. like penny discovers test subject final development line feminine products marketed nationwide chain boutiques called beautiful you. potent effective devices women millions line outside stores opening day lock room stop coming out. except batteries. maxwell plan battery powered world domination must stopped.
486,Classics and Historical,hannah thinks tonight passover seder always. year mysteriously transported past. knows horrors await.
487,Science Fiction,morning kady thought breaking ezra hardest thing afternoon planet invaded. the year two rival mega corporations war planet little speck edge universe. enemy fire raining kady ezra barely even talking forced evacuate hostile warship hot pursuit. but problems getting started. plague broken mutating terrifying results fleet ai may actually enemy nobody charge say really going kady hacks web data find truth clear person help ex boyfriend swore never speak again. told fascinating dossier hacked documents including emails maps files ims medical reports interviews illuminaeis first book heart stopping trilogy lives interrupted price truth courage everyday heroes.
488,Youth Literature (Children and Young Adult),upon time little girl disappeared. once upon time name alice. once upon time know lucky was. when alice ten ray took away family friends life. learned give power endure pain. waited nightmare over. now alice fifteen ray still speaks death. know longs for. know something terrifying death mind her. this alice story. one never heard one never ever forget.
489,Mystery,savage crime rocked working class neighbourhood boston four members family brutally murdered. father lying intensive care unit survival doubt. principal suspect. female police detective warren however one take things face value. time danielle burton life thrown turmoil nurse whose life service profession tentatively recovered devastating family tragedy decades investigation warren partner throw danielle life chaos again. one angle triangle devotion mother victoria oliver disturbed son tested limit.
490,Mystery,oliver marks served ten years jail murder may may committed. day released greeted man put prison. detective colborne retiring wants know really happened decade ago. as one seven young actors studying shakespeare elite arts college oliver friends play roles onstage hero villain tyrant temptress ingenue extra. casting changes secondary characters usurp stars plays spill dangerously life one found dead. rest face greatest acting challenge yet convincing police blameless.
491,Fantasy,abracadabra ancient words uttered invoke magical response phrase catapults alexander storm company next mind bending race evil. high adventure abounds returning cast characters dash around globe effort thwart rising menace. journeys take ancient ruins solomon secretive caves qumran across mountainous regions mediterranean vast landscape india. objective morphing mystery. adversaries relentless evil. heart magic force archaic threatens unravel fabric existence.
492,Youth Literature (Children and Young Adult),cammie morgan back clear life calmed since events ofi tell love kill you. first giddy anticipation air. gallagher academy cammie elite spy school hosting visit covert training center boys. soon boys arrival though everything goes dangerously awry series security breaches discovered academy. worse yet teenage agent training cammie blamed penetration. school top secret status risk gallagher girls work quickly save beloved school.
493,Romance,take secure heart smith security services team flowers chocolate wishes sparks flowers fashion designer flower calloway next big show could make famous world ends uncovering secrets could break heart instead. chocolate quick trip store chocolate therapy fateful encounter gorgeous men shakes agent genie cook secure life. wishes jacob gracie love first sight take wishes hold together jacob career threatens tear apart. sparks twin brothers weave bob hardened fighters two special women going throwing sparks instead punches.
494,Fiction,thursday evening. work martin blom drives supermarket buy groceries. walks back car shot rings wakes blind. neurosurgeon bruno visser tells loss sight permanent must expect experience shock depression self pity even suicidal thoughts rehabilitation complete. work quite like that. one spring evening martin practicing clinic gardens new white cane something miraculous happens.
495,Fiction,small town paradise pennsylvania jewel lancaster county known picture postcard landscapes bucolic lifestyle. peace shattered discovery dead infant barn amish farmer. police investigation quickly leads two startling disclosures newborn mother unmarried amish woman eighteen year old katie fisher. infant die natural causes. although katie denies medical proof gave birth child circumstantial evidence leads arrest murder baby. one hundred miles away philadelphia defense attorney ellie hathaway achieved enviable high profile career. latest court victory set sands shifting beneath her. single thirty nine unsatisfied relationship ellie look back turns chance make partner takes open ended stay great aunt home paradise. fate brings katie fisher. suddenly ellie sees chance defend client truly needs one afford her. but taking case challenges ellie ways one. finds clash wills client want defended also clash cultures people whose channels justice markedly different own. immersing katie fisher life world founded faith humility duty honesty ellie begins understand pressures sacrifices live plain. peels away layers fact fantasy ellie calls old friend guidance. man ellie past reenters life must uncover truth complex case tragic loss bonds love deepest fears desires.
496,Horror and Paranormal,autumn inconceivable comes blackeberg suburb sweden. body teenage boy found emptied blood murder rumored part ritual killing. twelve year old oskar personally hoping revenge come long last revenge bullying endures school day day. but murder important thing mind. new girl moved next door girl never seen rubik cube solve once. something wrong though something odd. comes night
497,Fantasy,bestselling novel love loss hope twice carnegie medal winning patrick ness. conor dream every night ever since mother first fell ill ever since started treatments quite seem working. tonight different. tonight wakes visitor window. ancient elemental force nature. wants dangerous thing conor. wants truth. patrick ness takes final idea late award winning writer siobhan dowd weaves extraordinary heartbreaking tale mischief healing courage takes survive.
498,Romance,journalist paxton andrews would experience vietnam firsthand. follow high school savannah college berkeley work saigon. for soldiers knew met viet nam would change lives ways could never imagined. men life viet nam would change lives ways hey could escape deny. peter wilson fresh law school new recruit would confont fate da nang. ralph johnson seasoned ap correspondent saigon since beginning. knew vietnam war inside out. bill quinn captain cu chi tunnel rats fourth tour duty seemed nothing could touch him. sergeant tony campobello come vietnam streets new york vent rage followed way saigon. for seven years paxton andrews would write acclaimed newspaper column front finally returning states attending paris peace talks. men fought viet nam life would never again.
499,Fiction,police lights illuminate dark street dark night small michigan town. vehicle pulled cop claims occupants resemble robbery suspects. traffic law violated. man wrong age woman wrong sex small children seated back. still officer persists. driver declares legally carrying confusion reigns shots ring innocent black man lies bleeding death. tragic events captured video. the shooting becomes national news. officer placed paid leave. watching celebrity lawyer zachary blake discuss case television victim wife turns blake justice. facing embarrassed yet emboldened police force attorney client face dark side police power. successfully fight city hall suspenseful powerful enlightening betrayal black explores increasingly controversial clash race police power.
500,Science Fiction,first novel lewis classic science fiction trilogy dr ransom cambridge academic abducted taken spaceship red planet malacandra knows mars. captors plotting plunder planet treasures plan offer ransom sacrifice creatures live there. ransom discovers come silent planet earth whose tragic story known throughout universe
501,Classics and Historical,epic tale romance reminiscence. meeting hearts unlikely circumstance woman dazzling mind. man makes impulsive decisions. royal wedding turns beheading nation risk annihilation battle survival horizon. two vikings one formidable former varangian guard whose name carved marble slab constantinople hagia sophia settle kurdland. though defined different opportunities challenges imposed ivar halvdan desperate recognition affection. lives intertwine enchanting virtuous doctor vesta successful palace manager zara newly coronated kurdish king saaid try deal inevitable trials love loss time uncertainty continues cloud future. well researched seductively charming viking kurdish love spans across continents cultures religions decades tumultuous regional global history. widad lyrical prose sensuously wraps readers story people era refuse trapped past experiences.
502,Youth Literature (Children and Young Adult),nora grey life still far perfect. surviving attempt life pleasant least got guardian angel mysterious magnetic gorgeous guardian angel. despite role life patch acting anything angelic. elusive ever possible worse seems spending time nora archenemy marcie millar. nora would hardly noticed scott parnell old family friend moved back town patch acting distant. even scott totally infuriating attitude nora finds drawn despite lingering feelings hiding something. if enough nora haunted images murdered father comes question whether nephilim bloodline anything death. desperate figure happened puts increasingly dangerous situations get answer. maybe things better left buried truth could destroy everything everyone trusts.
503,Fantasy,dragon eat girls takes matter stories tell outside valley. hear sometimes travelers passing through. talk though human sacrifice real dragon. course true may wizard immortal still man fathers would band together kill wanted eat one us every ten years. protects us wood grateful grateful. agnieszka loves valley home quiet village forests bright shining river. corrupted wood stands border full malevolent power shadow lies life. her people rely cold driven wizard known dragon keep powers bay. demands terrible price help one young woman handed serve ten years fate almost terrible falling wood. the next choosing fast approaching agnieszka afraid. knows everyoneknows dragon take kasia beautiful graceful brave kasia things agnieszka dearest friend world. way save her. but agnieszka fears wrong things. dragon comes kasia choose.
504,Classics and Historical,winner pacem terris peace freedom awardthe kurdish activist became global icona powerful portrayal little school girl defies saddam hussein regime survives anfal genocide goes become award winning champion human rights. by combining crisp prose utterly enthralling storytelling widad pulls back curtain reveal vivid detail unflinching honesty experiences shaped childhood kurdistan region doomed persecution years university student undertaking grueling task chronicling crimes humanity years old phenomenal resilience exile. daughter kurdland takes reader intimate journey uncover deep truths valid age especially present context. sparkling wit wisdom book poses universal questions always others tell us important defy norms much willing compromise sake others much prepared pay profile courage widad today international icon peace women empowerment youngest winner pacem terris peace freedom award ranked among world renowned figures like john kennedy mother teresa desmond tutu dalai lama. testament power human endurance daughter kurdland inspire surprise men women alike.
